[22-09-24 22:17:53.067] LOG  : General     , 1727036273067> 8.788.266.076> Base.D3CR_Loose: displaycategory, ClothBag.
[22-09-24 22:17:53.067] LOG  : General     , 1727036273067> 8.788.266.076> Base.GM15_Canister: displaycategory, ClothBag.
[22-09-24 22:17:53.067] LOG  : General     , 1727036273067> 8.788.266.076> Base.GM15_Canister_Loose: displaycategory, ClothBag.
[22-09-24 22:17:53.067] LOG  : General     , 1727036273067> 8.788.266.076> Base.Trench_Ammo_Pack: displaycategory, ClothBag.
[22-09-24 22:17:53.067] LOG  : General     , 1727036273067> 8.788.266.076> Base.Trench_Ammo_Pack_Loose: displaycategory, ClothBag.
[22-09-24 22:17:53.068] LOG  : General     , 1727036273068> 8.788.266.077> Base.Trench_Grenade_Pack: displaycategory, ClothBag.
[22-09-24 22:17:53.068] LOG  : General     , 1727036273068> 8.788.266.077> Base.Trench_Grenade_Pack_Loose: displaycategory, ClothBag.
[22-09-24 22:17:53.068] LOG  : General     , 1727036273068> 8.788.266.077> Base.Messkit: displaycategory, ClothBag.
[22-09-24 22:17:53.068] LOG  : General     , 1727036273068> 8.788.266.077> Base.Messkit_Loose: displaycategory, ClothBag.
[22-09-24 22:17:53.068] LOG  : General     , 1727036273068> 8.788.266.077> Base.Messkit_B: displaycategory, ClothBag.
[22-09-24 22:17:53.068] LOG  : General     , 1727036273068> 8.788.266.077> Base.Messkit_B_Loose: displaycategory, ClothBag.
[22-09-24 22:17:53.068] LOG  : General     , 1727036273068> 8.788.266.077> Base.USCM_Jacket: displaycategory, ClothBody.
[22-09-24 22:17:53.068] LOG  : General     , 1727036273068> 8.788.266.077> Base.USCM_Jacket_ON: displaycategory, ClothBody.
[22-09-24 22:17:53.068] LOG  : General     , 1727036273068> 8.788.266.077> Base.USCM_Pants: displaycategory, ClothLeg.
[22-09-24 22:17:53.068] LOG  : General     , 1727036273068> 8.788.266.077> Base.USCM_Pants_Rolled: displaycategory, ClothLeg.
[22-09-24 22:17:53.068] LOG  : General     , 1727036273068> 8.788.266.077> Base.USCM_Boots: displaycategory, ClothFeet.
[22-09-24 22:17:53.068] LOG  : General     , 1727036273068> 8.788.266.077> Base.USCM_Helmet: displaycategory, ClothHead.
[22-09-24 22:17:53.068] LOG  : General     , 1727036273068> 8.788.266.077> Base.USCM_Armor: displaycategory, ClothBody.
[22-09-24 22:17:53.069] LOG  : General     , 1727036273069> 8.788.266.078> Base.Susie_Stocking: displaycategory, ClothFeet.
[22-09-24 22:17:53.069] LOG  : General     , 1727036273069> 8.788.266.078> Base.Stocking_Long: displaycategory, ClothFeet.
[22-09-24 22:17:53.069] LOG  : General     , 1727036273069> 8.788.266.078> Base.Stocking_Belt: displaycategory, ClothFeet.
[22-09-24 22:17:53.069] LOG  : General     , 1727036273069> 8.788.266.078> Base.Stocking_String: displaycategory, ClothFeet.
[22-09-24 22:17:53.069] LOG  : General     , 1727036273069> 8.788.266.078> Base.Wool_Stocking: displaycategory, ClothFeet.
[22-09-24 22:17:53.069] LOG  : General     , 1727036273069> 8.788.266.078> Base.Wool_Stocking_Below: displaycategory, ClothFeet.
[22-09-24 22:17:53.069] LOG  : General     , 1727036273069> 8.788.266.078> Base.Wool_Stocking_Mismatch: displaycategory, ClothFeet.
[22-09-24 22:17:53.069] LOG  : General     , 1727036273069> 8.788.266.078> Base.Wool_Stocking_Half: displaycategory, ClothFeet.
[22-09-24 22:17:53.069] LOG  : General     , 1727036273069> 8.788.266.078> Base.Wool_Stocking_Ripped: displaycategory, ClothFeet.
[22-09-24 22:17:53.069] LOG  : General     , 1727036273069> 8.788.266.078> Base.Lace_Stocking: displaycategory, ClothFeet.
[22-09-24 22:17:53.069] LOG  : General     , 1727036273069> 8.788.266.078> Base.Lace_Stocking_Mismatch: displaycategory, ClothFeet.
[22-09-24 22:17:53.069] LOG  : General     , 1727036273069> 8.788.266.078> Base.Lace_Stocking_Half: displaycategory, ClothFeet.
[22-09-24 22:17:53.069] LOG  : General     , 1727036273069> 8.788.266.078> Base.Casual_Stocking: displaycategory, ClothFeet.
[22-09-24 22:17:53.069] LOG  : General     , 1727036273069> 8.788.266.078> Base.Casual_Stocking_Below: displaycategory, ClothFeet.
[22-09-24 22:17:53.069] LOG  : General     , 1727036273069> 8.788.266.078> Base.Casual_Stocking_Mismatch: displaycategory, ClothFeet.
