[01-10-24 21:04:00.347] LOG  : General     , 1727809440347> 0> Base.SweetJuice: DisplayCategory, FoodN.
[01-10-24 21:04:00.347] LOG  : General     , 1727809440347> 0> Base.Magazine: DisplayCategory, LitE.
[01-10-24 21:04:00.347] LOG  : General     , 1727809440347> 0> Base.Cockroach: DisplayCategory, FoodN.
[01-10-24 21:04:00.347] LOG  : General     , 1727809440347> 0> Base.Waffles: DisplayCategory, FoodP.
[01-10-24 21:04:00.347] LOG  : General     , 1727809440347> 0> Base.SaucePan_CherryJam: DisplayCategory, FoodN.
[01-10-24 21:04:00.347] LOG  : General     , 1727809440347> 0> Base.Avocado: DisplayCategory, FoodP.
[01-10-24 21:04:00.357] LOG  : General     , 1727809440357> 0> Base.CakeRaw: DisplayCategory, FoodP.
[01-10-24 21:04:00.357] LOG  : General     , 1727809440357> 0> Base.Sliced_Watermelon: DisplayCategory, FoodP.
[01-10-24 21:04:00.357] LOG  : General     , 1727809440357> 0> Base.SpoonMagazinePrserving: DisplayCategory, LitR.
[01-10-24 21:04:00.357] LOG  : General     , 1727809440357> 0> Base.ShrimpFriedCraft: DisplayCategory, FoodP.
[01-10-24 21:04:00.357] LOG  : General     , 1727809440357> 0> Base.CannedPotatoOpen: DisplayCategory, FoodP.
[01-10-24 21:04:00.357] LOG  : General     , 1727809440357> 0> Base.PepperJalapeno: DisplayCategory, FoodP.
[01-10-24 21:04:00.357] LOG  : General     , 1727809440357> 0> Base.Salmon: DisplayCategory, FoodP.
[01-10-24 21:04:00.357] LOG  : General     , 1727809440357> 0> Base.SaucePan_OrangeMarmalade: DisplayCategory, FoodN.
[01-10-24 21:04:00.357] LOG  : General     , 1727809440357> 0> Base.CannedBologneseOpen: DisplayCategory, FoodP.
[01-10-24 21:04:00.357] LOG  : General     , 1727809440357> 0> Base.WildEggs: DisplayCategory, FoodP.
[01-10-24 21:04:00.357] LOG  : General     , 1727809440357> 0> Base.MeatDumpling: DisplayCategory, FoodP.
[01-10-24 21:04:00.357] LOG  : General     , 1727809440357> 0> Base.TomatoPaste: DisplayCategory, FoodN.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.Grasshopper: DisplayCategory, FoodN.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.Marshmallows: DisplayCategory, FoodN.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.Fries: DisplayCategory, FoodP.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.SawflyLarva: DisplayCategory, FoodN.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.CandyFruitSlices: DisplayCategory, FoodN.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.BaguetteDough: DisplayCategory, FoodP.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.KetchupOnPot: DisplayCategory, FoodP.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.Dried_Strawberries: DisplayCategory, FoodN.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.SaucePan_StrawberryJam: DisplayCategory, FoodN.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.PieKeyLime: DisplayCategory, FoodP.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.Big_ColaPetFull: DisplayCategory, FoodN.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.MushroomGeneric5: DisplayCategory, FoodP.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.MushroomGeneric6: DisplayCategory, FoodP.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.MushroomGeneric3: DisplayCategory, FoodP.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.MushroomGeneric4: DisplayCategory, FoodP.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.MushroomGeneric1: DisplayCategory, FoodP.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.MushroomGeneric2: DisplayCategory, FoodP.
[01-10-24 21:04:00.358] LOG  : General     , 1727809440358> 0> Base.MushroomGeneric7: DisplayCategory, FoodP.
[01-10-24 21:04:00.359] LOG  : General     , 1727809440359> 0> Base.CannedSardines: DisplayCategory, FoodN.
[01-10-24 21:04:00.359] LOG  : General     , 1727809440359> 0> Base.CookieChocolateChip: DisplayCategory, FoodN.
[01-10-24 21:04:00.359] LOG  : General     , 1727809440359> 0> Base.Sliced_Banana: DisplayCategory, FoodP.
[01-10-24 21:04:00.359] LOG  : General     , 1727809440359> 0> Base.JellyBeans: DisplayCategory, FoodN.
[01-10-24 21:04:00.359] LOG  : General     , 1727809440359> 0> Base.Trout: DisplayCategory, FoodP.
[01-10-24 21:04:00.359] LOG  : General     , 1727809440359> 0> Base.ChickenFoot: DisplayCategory, FoodP.
[01-10-24 21:04:00.359] LOG  : General     , 1727809440359> 0> Base.Rosemary: DisplayCategory, FoodN.
[01-10-24 21:04:00.359] LOG  : General     , 1727809440359> 0> Base.BigSugar2: DisplayCategory, FoodN.
[01-10-24 21:04:00.359] LOG  : General     , 1727809440359> 0> Base.PieLemonMeringue: DisplayCategory, FoodP.
[01-10-24 21:04:00.359] LOG  : General     , 1727809440359> 0> Base.Dried_FishFillet: DisplayCategory, FoodN.
[01-10-24 21:04:00.359] LOG  : General     , 1727809440359> 0> Base.PastaPan: DisplayCategory, FoodP.
[01-10-24 21:04:00.359] LOG  : General     , 1727809440359> 0> Base.BerryGeneric5: DisplayCategory, FoodP.
[01-10-24 21:04:00.359] LOG  : General     , 1727809440359> 0> Base.BerryGeneric1: DisplayCategory, FoodP.
[01-10-24 21:04:00.359] LOG  : General     , 1727809440359> 0> Base.BerryGeneric2: DisplayCategory, FoodP.
[01-10-24 21:04:00.359] LOG  : General     , 1727809440359> 0> Base.BerryGeneric3: DisplayCategory, FoodP.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.BerryGeneric4: DisplayCategory, FoodP.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.Leek: DisplayCategory, FoodP.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.FirstBlood_Book: DisplayCategory, LitR.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.Sage: DisplayCategory, FoodN.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.Prepared_FishFillet: DisplayCategory, FoodP.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.Sliced_Zucchini: DisplayCategory, FoodP.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.PancakesCraft: DisplayCategory, FoodP.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.YBulp: DisplayCategory, FoodP.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.CrackerDough: DisplayCategory, FoodP.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.MagazineCrossword1: DisplayCategory, LitE.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.MagazineCrossword2: DisplayCategory, LitE.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.MagazineCrossword3: DisplayCategory, LitE.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.Lettuce: DisplayCategory, FoodP.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.Guacamole: DisplayCategory, FoodP.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.Centipede2: DisplayCategory, FoodN.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.Thyme: DisplayCategory, FoodN.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.SackProduce_Onion: DisplayCategory, FoodP.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.Dough: DisplayCategory, FoodP.
[01-10-24 21:04:00.360] LOG  : General     , 1727809440360> 0> Base.CannedMilkOpen: DisplayCategory, FoodP.
