[01-10-24 22:31:04.761] LOG  : General     , 1727814664761> 0> Tsarcraft.CassetteMixTapeKKona: DisplayCategory, MediaA.
[01-10-24 22:31:04.761] LOG  : General     , 1727814664761> 0> Tsarcraft.CassetteFlattAndScruggsFoggyMountainBreakdown(1968): DisplayCategory, MediaA.
[01-10-24 22:31:04.761] LOG  : General     , 1727814664761> 0> Tsarcraft.CassetteMetallicaNothingElseMatters(1991): DisplayCategory, MediaA.
[01-10-24 22:31:04.761] LOG  : General     , 1727814664761> 0> Tsarcraft.CassetteMixTapeLazy: DisplayCategory, MediaA.
[01-10-24 22:31:04.761] LOG  : General     , 1727814664761> 0> Tsarcraft.VinylAliceCooperPoison(1989): DisplayCategory, MediaA.
[01-10-24 22:31:04.770] LOG  : General     , 1727814664770> 0> Tsarcraft.CassetteQueenWeWillRockYou(1977): DisplayCategory, MediaA.
[01-10-24 22:31:04.770] LOG  : General     , 1727814664770> 0> Tsarcraft.VinylOnAPlain: DisplayCategory, MediaA.
[01-10-24 22:31:04.770] LOG  : General     , 1727814664770> 0> Tsarcraft.VinylAveMaria: DisplayCategory, MediaA.
[01-10-24 22:31:04.770] LOG  : General     , 1727814664770> 0> Tsarcraft.VinylJudyGarlandHaveYourselfAMerryLittleChristmas(1944): DisplayCategory, MediaA.
[01-10-24 22:31:04.770] LOG  : General     , 1727814664770> 0> Tsarcraft.VinylMaxPayne: DisplayCategory, MediaA.
[01-10-24 22:31:04.770] LOG  : General     , 1727814664770> 0> Tsarcraft.VinylThurlRavenscroftYoureAMeanOneMrGrinch(1966): DisplayCategory, MediaA.
[01-10-24 22:31:04.770] LOG  : General     , 1727814664770> 0> Tsarcraft.VinylACDCHighwayToHell(1979): DisplayCategory, MediaA.
[01-10-24 22:31:04.770] LOG  : General     , 1727814664770> 0> Tsarcraft.CassetteDeadOrAliveYouSpinMeRound(1984): DisplayCategory, MediaA.
[01-10-24 22:31:04.770] LOG  : General     , 1727814664770> 0> Tsarcraft.VinylGeneAutryFrostyTheSnowMan(1951): DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.VinylBobbyDarinBrandNewHouse(1958): DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.CassetteKissIWasMadeForLovinYou(1979): DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.CassetteScottMcKenzieSanFrancisco(1967): DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.CassetteMixTapeEDM: DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.CassetteAlabamaChristmasInDixie(1985): DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.CassetteJoseFelicianoFelizNavidad(1970): DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.CassetteSurvivorEyeOfTheTiger(1982): DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.CassetteAwoo: DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.CassetteDollyPartonHardCandyChristmas(1982): DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.CassetteMixTapeNightcoreC: DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.CassetteMixTapeNightcoreB: DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.CassetteMixTapeNightcoreA: DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.VinylInochiNoNamae: DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.CassetteMainTheme: DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.CassetteJourneyDontStopBelievin(1981): DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.CassetteBoneyMRasputin(1978): DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.VinylElvisPresleyBlueChristmas(1957): DisplayCategory, MediaA.
[01-10-24 22:31:04.771] LOG  : General     , 1727814664771> 0> Tsarcraft.VinylRighteousBrothersUnchainedMelody(1965): DisplayCategory, MediaA.
[01-10-24 22:31:04.772] LOG  : General     , 1727814664772> 0> Tsarcraft.CassetteJonaLewieStopTheCavalry(1978): DisplayCategory, MediaA.
[01-10-24 22:31:04.772] LOG  : General     , 1727814664772> 0> Tsarcraft.CassetteMixTapeBabyMetal: DisplayCategory, MediaA.
[01-10-24 22:31:04.772] LOG  : General     , 1727814664772> 0> Tsarcraft.CassetteMixTapeHoloLive: DisplayCategory, MediaA.
[01-10-24 22:31:04.772] LOG  : General     , 1727814664772> 0> Tsarcraft.CassetteBonnieTylerHoldingOutForAHero(1984): DisplayCategory, MediaA.
[01-10-24 22:31:04.772] LOG  : General     , 1727814664772> 0> Tsarcraft.CassetteBonnieTylerTotalEclipseOfTheHeart(1983): DisplayCategory, MediaA.
