[06-10-24 23:07:22.558] LOG  : General     , 1728248842558> 0> RuggedRecipes.BakedPotato: DisplayCategory, FoodP.
[06-10-24 23:07:22.558] LOG  : General     , 1728248842558> 0> RuggedRecipes.HoochMash: DisplayCategory, FoodP.
[06-10-24 23:07:22.558] LOG  : General     , 1728248842558> 0> RuggedRecipes.FermentingHoochMash: DisplayCategory, FoodP.
[06-10-24 23:07:22.558] LOG  : General     , 1728248842558> 0> RuggedRecipes.DriedLemon: DisplayCategory, FoodP.
[06-10-24 23:07:22.558] LOG  : General     , 1728248842558> 0> RuggedRecipes.FermentedKentuckyKimchiOpen: DisplayCategory, FoodP.
[06-10-24 23:07:22.567] LOG  : General     , 1728248842567> 0> RuggedRecipes.JarredSauerkrautUnready: DisplayCategory, FoodP.
[06-10-24 23:07:22.567] LOG  : General     , 1728248842567> 0> RuggedRecipes.DriedCherry: DisplayCategory, FoodP.
[06-10-24 23:07:22.567] LOG  : General     , 1728248842567> 0> RuggedRecipes.PreparedApple: DisplayCategory, FoodP.
[06-10-24 23:07:22.567] LOG  : General     , 1728248842567> 0> RuggedRecipes.SmokedFish: DisplayCategory, FoodN.
[06-10-24 23:07:22.567] LOG  : General     , 1728248842567> 0> RuggedRecipes.DriedOrange: DisplayCategory, FoodP.
[06-10-24 23:07:22.567] LOG  : General     , 1728248842567> 0> RuggedRecipes.UndriedBiltong: DisplayCategory, FoodP.
[06-10-24 23:07:22.567] LOG  : General     , 1728248842567> 0> RuggedRecipes.DriedBanana: DisplayCategory, FoodP.
[06-10-24 23:07:22.567] LOG  : General     , 1728248842567> 0> RuggedRecipes.DriedPineapple: DisplayCategory, FoodP.
[06-10-24 23:07:22.567] LOG  : General     , 1728248842567> 0> RuggedRecipes.PreparedBanana: DisplayCategory, FoodP.
[06-10-24 23:07:22.567] LOG  : General     , 1728248842567> 0> RuggedRecipes.JarredPicklesUnready: DisplayCategory, FoodP.
[06-10-24 23:07:22.567] LOG  : General     , 1728248842567> 0> RuggedRecipes.DriedLime: DisplayCategory, FoodP.
[06-10-24 23:07:22.567] LOG  : General     , 1728248842567> 0> RuggedRecipes.DriedMango: DisplayCategory, FoodP.
[06-10-24 23:07:22.567] LOG  : General     , 1728248842567> 0> RuggedRecipes.SauerkrautBowl: DisplayCategory, FoodP.
[06-10-24 23:07:22.567] LOG  : General     , 1728248842567> 0> RuggedRecipes.PreparedWatermelon: DisplayCategory, FoodP.
[06-10-24 23:07:22.568] LOG  : General     , 1728248842568> 0> RuggedRecipes.DriedApple: DisplayCategory, FoodP.
[06-10-24 23:07:22.568] LOG  : General     , 1728248842568> 0> RuggedRecipes.UndriedBeefJerky: DisplayCategory, FoodP.
[06-10-24 23:07:22.568] LOG  : General     , 1728248842568> 0> RuggedRecipes.PreparedPeach: DisplayCategory, FoodP.
[06-10-24 23:07:22.568] LOG  : General     , 1728248842568> 0> RuggedRecipes.Cucumber: DisplayCategory, FoodP.
[06-10-24 23:07:22.568] LOG  : General     , 1728248842568> 0> RuggedRecipes.MoonshineEmpty: DisplayCategory, Container.
[06-10-24 23:07:22.568] LOG  : General     , 1728248842568> 0> RuggedRecipes.PreparedGrapes: DisplayCategory, FoodP.
[06-10-24 23:07:22.568] LOG  : General     , 1728248842568> 0> RuggedRecipes.PreparedGrapefruit: DisplayCategory, FoodP.
[06-10-24 23:07:22.568] LOG  : General     , 1728248842568> 0> RuggedRecipes.JarredSauerkrautOpen: DisplayCategory, FoodP.
[06-10-24 23:07:22.568] LOG  : General     , 1728248842568> 0> RuggedRecipes.KentuckyKimchiBowl: DisplayCategory, FoodP.
[06-10-24 23:07:22.568] LOG  : General     , 1728248842568> 0> RuggedRecipes.PreparedOrange: DisplayCategory, FoodP.
[06-10-24 23:07:22.568] LOG  : General     , 1728248842568> 0> RuggedRecipes.PreparedCherry: DisplayCategory, FoodP.
[06-10-24 23:07:22.568] LOG  : General     , 1728248842568> 0> RuggedRecipes.PreparedLime: DisplayCategory, FoodP.
[06-10-24 23:07:22.568] LOG  : General     , 1728248842568> 0> RuggedRecipes.DriedPeach: DisplayCategory, FoodP.
