[12-10-24 06:09:14.208] LOG  : General     , 1728706154208> 0> RuggedRecipes.FermentingHoochMash: DisplayCategory, FoodP.
[12-10-24 06:09:14.208] LOG  : General     , 1728706154208> 0> RuggedRecipes.DriedLemon: DisplayCategory, FoodP.
[12-10-24 06:09:14.208] LOG  : General     , 1728706154208> 0> RuggedRecipes.FermentedKentuckyKimchiOpen: DisplayCategory, FoodP.
[12-10-24 06:09:14.208] LOG  : General     , 1728706154208> 0> RuggedRecipes.JarredSauerkrautUnready: DisplayCategory, FoodP.
[12-10-24 06:09:14.208] LOG  : General     , 1728706154208> 0> RuggedRecipes.DriedCherry: DisplayCategory, FoodP.
[12-10-24 06:09:14.209] LOG  : General     , 1728706154209> 0> RuggedRecipes.PreparedApple: DisplayCategory, FoodP.
[12-10-24 06:09:14.209] LOG  : General     , 1728706154209> 0> RuggedRecipes.SmokedFish: DisplayCategory, FoodN.
[12-10-24 06:09:14.209] LOG  : General     , 1728706154209> 0> RuggedRecipes.DriedOrange: DisplayCategory, FoodP.
[12-10-24 06:09:14.209] LOG  : General     , 1728706154209> 0> RuggedRecipes.UndriedBiltong: DisplayCategory, FoodP.
[12-10-24 06:09:14.209] LOG  : General     , 1728706154209> 0> RuggedRecipes.DriedBanana: DisplayCategory, FoodP.
[12-10-24 06:09:14.210] LOG  : General     , 1728706154210> 0> RuggedRecipes.DriedPineapple: DisplayCategory, FoodP.
[12-10-24 06:09:14.210] LOG  : General     , 1728706154210> 0> RuggedRecipes.PreparedBanana: DisplayCategory, FoodP.
[12-10-24 06:09:14.210] LOG  : General     , 1728706154210> 0> RuggedRecipes.JarredPicklesUnready: DisplayCategory, FoodP.
[12-10-24 06:09:14.210] LOG  : General     , 1728706154210> 0> RuggedRecipes.DriedLime: DisplayCategory, FoodP.
[12-10-24 06:09:14.210] LOG  : General     , 1728706154210> 0> RuggedRecipes.DriedMango: DisplayCategory, FoodP.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.SauerkrautBowl: DisplayCategory, FoodP.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.PreparedWatermelon: DisplayCategory, FoodP.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.DriedApple: DisplayCategory, FoodP.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.UndriedBeefJerky: DisplayCategory, FoodP.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.PreparedPeach: DisplayCategory, FoodP.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.Cucumber: DisplayCategory, FoodP.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.MoonshineEmpty: DisplayCategory, Container.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.PreparedGrapes: DisplayCategory, FoodP.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.PreparedGrapefruit: DisplayCategory, FoodP.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.JarredSauerkrautOpen: DisplayCategory, FoodP.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.KentuckyKimchiBowl: DisplayCategory, FoodP.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.PreparedOrange: DisplayCategory, FoodP.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.PreparedCherry: DisplayCategory, FoodP.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.PreparedLime: DisplayCategory, FoodP.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.DriedPeach: DisplayCategory, FoodP.
[12-10-24 06:09:14.211] LOG  : General     , 1728706154211> 0> RuggedRecipes.PreparedStrawberries: DisplayCategory, FoodP.
[12-10-24 06:09:14.212] LOG  : General     , 1728706154212> 0> RuggedRecipes.PreparedPineapple: DisplayCategory, FoodP.
[12-10-24 06:09:14.212] LOG  : General     , 1728706154212> 0> RuggedRecipes.JarredPicklesReady: DisplayCategory, FoodP.
[12-10-24 06:09:14.212] LOG  : General     , 1728706154212> 0> RuggedRecipes.CannedCucumber: DisplayCategory, FoodP.
