[12-10-24 12:05:02.576] LOG  : General     , 1728727502576> 0> RuggedRecipes.HoochMash: DisplayCategory, FoodP.
[12-10-24 12:05:02.576] LOG  : General     , 1728727502576> 0> RuggedRecipes.FermentingHoochMash: DisplayCategory, FoodP.
[12-10-24 12:05:02.576] LOG  : General     , 1728727502576> 0> RuggedRecipes.DriedLemon: DisplayCategory, FoodP.
[12-10-24 12:05:02.576] LOG  : General     , 1728727502576> 0> RuggedRecipes.FermentedKentuckyKimchiOpen: DisplayCategory, FoodP.
[12-10-24 12:05:02.576] LOG  : General     , 1728727502576> 0> RuggedRecipes.JarredSauerkrautUnready: DisplayCategory, FoodP.
[12-10-24 12:05:02.578] LOG  : General     , 1728727502578> 0> RuggedRecipes.DriedCherry: DisplayCategory, FoodP.
[12-10-24 12:05:02.578] LOG  : General     , 1728727502578> 0> RuggedRecipes.PreparedApple: DisplayCategory, FoodP.
[12-10-24 12:05:02.578] LOG  : General     , 1728727502578> 0> RuggedRecipes.SmokedFish: DisplayCategory, FoodN.
[12-10-24 12:05:02.578] LOG  : General     , 1728727502578> 0> RuggedRecipes.DriedOrange: DisplayCategory, FoodP.
[12-10-24 12:05:02.578] LOG  : General     , 1728727502578> 0> RuggedRecipes.UndriedBiltong: DisplayCategory, FoodP.
[12-10-24 12:05:02.578] LOG  : General     , 1728727502578> 0> RuggedRecipes.DriedBanana: DisplayCategory, FoodP.
[12-10-24 12:05:02.578] LOG  : General     , 1728727502578> 0> RuggedRecipes.DriedPineapple: DisplayCategory, FoodP.
[12-10-24 12:05:02.578] LOG  : General     , 1728727502578> 0> RuggedRecipes.PreparedBanana: DisplayCategory, FoodP.
[12-10-24 12:05:02.578] LOG  : General     , 1728727502578> 0> RuggedRecipes.JarredPicklesUnready: DisplayCategory, FoodP.
[12-10-24 12:05:02.578] LOG  : General     , 1728727502578> 0> RuggedRecipes.DriedLime: DisplayCategory, FoodP.
[12-10-24 12:05:02.578] LOG  : General     , 1728727502578> 0> RuggedRecipes.DriedMango: DisplayCategory, FoodP.
[12-10-24 12:05:02.578] LOG  : General     , 1728727502578> 0> RuggedRecipes.SauerkrautBowl: DisplayCategory, FoodP.
[12-10-24 12:05:02.578] LOG  : General     , 1728727502578> 0> RuggedRecipes.PreparedWatermelon: DisplayCategory, FoodP.
[12-10-24 12:05:02.579] LOG  : General     , 1728727502579> 0> RuggedRecipes.DriedApple: DisplayCategory, FoodP.
[12-10-24 12:05:02.579] LOG  : General     , 1728727502579> 0> RuggedRecipes.UndriedBeefJerky: DisplayCategory, FoodP.
[12-10-24 12:05:02.579] LOG  : General     , 1728727502579> 0> RuggedRecipes.PreparedPeach: DisplayCategory, FoodP.
[12-10-24 12:05:02.579] LOG  : General     , 1728727502579> 0> RuggedRecipes.Cucumber: DisplayCategory, FoodP.
[12-10-24 12:05:02.579] LOG  : General     , 1728727502579> 0> RuggedRecipes.MoonshineEmpty: DisplayCategory, Container.
[12-10-24 12:05:02.579] LOG  : General     , 1728727502579> 0> RuggedRecipes.PreparedGrapes: DisplayCategory, FoodP.
[12-10-24 12:05:02.579] LOG  : General     , 1728727502579> 0> RuggedRecipes.PreparedGrapefruit: DisplayCategory, FoodP.
[12-10-24 12:05:02.579] LOG  : General     , 1728727502579> 0> RuggedRecipes.JarredSauerkrautOpen: DisplayCategory, FoodP.
[12-10-24 12:05:02.579] LOG  : General     , 1728727502579> 0> RuggedRecipes.KentuckyKimchiBowl: DisplayCategory, FoodP.
[12-10-24 12:05:02.579] LOG  : General     , 1728727502579> 0> RuggedRecipes.PreparedOrange: DisplayCategory, FoodP.
[12-10-24 12:05:02.579] LOG  : General     , 1728727502579> 0> RuggedRecipes.PreparedCherry: DisplayCategory, FoodP.
[12-10-24 12:05:02.579] LOG  : General     , 1728727502579> 0> RuggedRecipes.PreparedLime: DisplayCategory, FoodP.
[12-10-24 12:05:02.579] LOG  : General     , 1728727502579> 0> RuggedRecipes.DriedPeach: DisplayCategory, FoodP.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502579> 0> RuggedRecipes.PreparedStrawberries: DisplayCategory, FoodP.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.PreparedPineapple: DisplayCategory, FoodP.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.JarredPicklesReady: DisplayCategory, FoodP.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.CannedCucumber: DisplayCategory, FoodP.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.DriedWatermelon: DisplayCategory, FoodP.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.JarredSauerkrautReady: DisplayCategory, FoodN.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.PreparedLemon: DisplayCategory, FoodP.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.FermentingBerryWine: DisplayCategory, FoodP.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.DriedGrapes: DisplayCategory, FoodP.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.DriedGrapefruit: DisplayCategory, FoodP.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.DriedStrawberries: DisplayCategory, FoodP.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.PreparedMango: DisplayCategory, FoodP.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.ReadyHoochMash: DisplayCategory, FoodN.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.Biltong: DisplayCategory, FoodN.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.ReadyKvass: DisplayCategory, FoodN.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.FermentingKvass: DisplayCategory, FoodP.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> RuggedRecipes.PreparedPear: DisplayCategory, FoodP.
[12-10-24 12:05:02.580] LOG  : General     , 1728727502580> 0> SapphCooking.TequilaWaterFull: DisplayCategory, FoodB.
[12-10-24 12:05:02.581] LOG  : General     , 1728727502581> 0> SapphCooking.RumEmpty: DisplayCategory, Container.
[12-10-24 12:05:02.581] LOG  : General     , 1728727502581> 0> SapphCooking.Wooden_CheeseMolds: DisplayCategory, Container.
[12-10-24 12:05:02.581] LOG  : General     , 1728727502581> 0> SapphCooking.Plate_HuevosRancherosEvolved: DisplayCategory, FoodP.
[12-10-24 12:05:02.581] LOG  : General     , 1728727502581> 0> SapphCooking.PipingBag_PastryDough: DisplayCategory, FoodN.
[12-10-24 12:05:02.581] LOG  : General     , 1728727502581> 0> SapphCooking.InstantNoodles_Chicken: DisplayCategory, FoodN.
[12-10-24 12:05:02.581] LOG  : General     , 1728727502581> 0> SapphCooking.GinEmpty: DisplayCategory, Container.
