[13-10-24 01:12:32.609] LOG  : General     , 1728774752609> 0> Base.Master V2 Remote: displaycategory, Elec.
[13-10-24 01:12:32.609] LOG  : General     , 1728774752609> 0> Base.Master V3 Remote: displaycategory, Elec.
[13-10-24 01:12:32.609] LOG  : General     , 1728774752609> 0> Base.Remote Door Control Receiver: displaycategory, Elec.
[13-10-24 01:12:32.609] LOG  : General     , 1728774752609> 0> filcher.SFWheat: displaycategory, Cook.
[13-10-24 01:12:32.609] LOG  : General     , 1728774752609> 0> filcher.BeetSeed: displaycategory, SurFarm.
[13-10-24 01:12:32.609] LOG  : General     , 1728774752609> 0> filcher.BeetBagSeed: displaycategory, SurFarm.
[13-10-24 01:12:32.619] LOG  : General     , 1728774752619> 0> filcher.CornSeed: displaycategory, SurFarm.
[13-10-24 01:12:32.619] LOG  : General     , 1728774752619> 0> filcher.CornBagSeed: displaycategory, SurFarm.
[13-10-24 01:12:32.619] LOG  : General     , 1728774752619> 0> filcher.CauliflowerSeed: displaycategory, SurFarm.
[13-10-24 01:12:32.619] LOG  : General     , 1728774752619> 0> filcher.CauliflowerBagSeed: displaycategory, SurFarm.
[13-10-24 01:12:32.619] LOG  : General     , 1728774752619> 0> filcher.SFLemonGrassSeed: displaycategory, SurFarm.
[13-10-24 01:12:32.619] LOG  : General     , 1728774752619> 0> filcher.SFLemonGrassBagSeed: displaycategory, SurFarm.
[13-10-24 01:12:32.619] LOG  : General     , 1728774752619> 0> filcher.LettuceSeed: displaycategory, SurFarm.
[13-10-24 01:12:32.619] LOG  : General     , 1728774752619> 0> filcher.LettuceBagSeed: displaycategory, SurFarm.
[13-10-24 01:12:32.619] LOG  : General     , 1728774752619> 0> filcher.TeaSeed: displaycategory, SurFarm.
[13-10-24 01:12:32.619] LOG  : General     , 1728774752619> 0> filcher.TeaBagSeed: displaycategory, SurFarm.
[13-10-24 01:12:32.619] LOG  : General     , 1728774752619> 0> filcher.SFWheatSeed: displaycategory, SurFarm.
[13-10-24 01:12:32.619] LOG  : General     , 1728774752619> 0> filcher.SFWheatBagSeed: displaycategory, SurFarm.
[13-10-24 01:12:32.619] LOG  : General     , 1728774752619> 0> filcher.SFBookFarm: displaycategory, LitR.
[13-10-24 01:12:32.619] LOG  : General     , 1728774752619> 0> filcher.SFFarmMag2: displaycategory, LitR.
[13-10-24 01:12:32.620] LOG  : General     , 1728774752620> 0> filcher.SFFarmMag3: displaycategory, LitR.
