[20-10-24 22:49:50.801] LOG  : General     , 1729457390801> 2.745.655.329> Base.Wallet3: DisplayCategory, Junk.
[20-10-24 22:49:50.801] LOG  : General     , 1729457390801> 2.745.655.329> Base.Wallet4: DisplayCategory, Junk.
[20-10-24 22:49:50.802] LOG  : General     , 1729457390802> 2.745.655.329> Base.Yoyo: DisplayCategory, Junk.
[20-10-24 22:49:50.802] LOG  : General     , 1729457390802> 2.745.655.329> Base.BeerCanEmpty: DisplayCategory, Junk.
[20-10-24 22:49:50.802] LOG  : General     , 1729457390802> 2.745.655.329> Base.CameraFilm: DisplayCategory, Junk.
[20-10-24 22:49:50.812] LOG  : General     , 1729457390812> 2.745.655.339> Base.Chopsticks: DisplayCategory, Junk.
[20-10-24 22:49:50.812] LOG  : General     , 1729457390812> 2.745.655.339> Base.Cork: DisplayCategory, Junk.
[20-10-24 22:49:50.812] LOG  : General     , 1729457390812> 2.745.655.339> Base.Doodle: DisplayCategory, LitW.
[20-10-24 22:49:50.812] LOG  : General     , 1729457390812> 2.745.655.339> Base.FountainCup: DisplayCategory, Junk.
[20-10-24 22:49:50.812] LOG  : General     , 1729457390812> 2.745.655.339> Base.GrillBrush: DisplayCategory, Junk.
[20-10-24 22:49:50.812] LOG  : General     , 1729457390812> 2.745.655.339> Base.KatePic: DisplayCategory, Junk.
[20-10-24 22:49:50.812] LOG  : General     , 1729457390812> 2.745.655.339> Base.Leash: DisplayCategory, Junk.
[20-10-24 22:49:50.812] LOG  : General     , 1729457390812> 2.745.655.339> Base.MetalDrum: DisplayCategory, Junk.
[20-10-24 22:49:50.812] LOG  : General     , 1729457390812> 2.745.655.339> Base.OvenMitt: DisplayCategory, Junk.
[20-10-24 22:49:50.812] LOG  : General     , 1729457390812> 2.745.655.339> Base.PaperNapkins: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.339> Base.Pinecone: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.339> Base.PlasticTray: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.Plate: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.PlateBlue: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.PlateFancy: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.PlateOrange: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.Pop2Empty: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.Pop3Empty: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.SoccerBall: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.Spatula: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.Straw: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.Tongs: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.WaterDish: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.CarvingFork: DisplayCategory, WepMelee.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.GamePieceBlack: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.GamePieceRed: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.GamePieceWhite: DisplayCategory, Junk.
[20-10-24 22:49:50.813] LOG  : General     , 1729457390813> 2.745.655.340> Base.HolePuncher: DisplayCategory, Junk.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.340> Base.KitchenTongs: DisplayCategory, Junk.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.340> Base.PokerChips: DisplayCategory, Junk.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.341> Base.Stapler: DisplayCategory, Junk.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.341> Base.Staples: DisplayCategory, Junk.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.341> Base.BackgammonBoard: DisplayCategory, Junk.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.341> Base.CheckerBoard: DisplayCategory, Junk.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.341> Base.CuttingBoardPlastic: DisplayCategory, Junk.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.341> Base.CuttingBoardWooden: DisplayCategory, Junk.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.341> Base.CarKey: DisplayCategory, Key.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.341> Base.Key1: DisplayCategory, Key.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.341> Base.Key2: DisplayCategory, Key.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.341> Base.Key3: DisplayCategory, Key.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.341> Base.Key4: DisplayCategory, Key.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.341> Base.Key5: DisplayCategory, Key.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.341> Base.MarchRidgeMap: DisplayCategory, LitC.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.341> Base.MuldraughMap: DisplayCategory, LitC.
[20-10-24 22:49:50.814] LOG  : General     , 1729457390814> 2.745.655.341> Base.RiversideMap: DisplayCategory, LitC.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.341> Base.RosewoodMap: DisplayCategory, LitC.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.342> Base.WestpointMap: DisplayCategory, LitC.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.342> Base.Map: DisplayCategory, LitC.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.342> Base.LouisvilleMap1: DisplayCategory, LitC.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.342> Base.LouisvilleMap2: DisplayCategory, LitC.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.342> Base.LouisvilleMap3: DisplayCategory, LitC.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.342> Base.LouisvilleMap4: DisplayCategory, LitC.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.342> Base.LouisvilleMap5: DisplayCategory, LitC.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.342> Base.LouisvilleMap6: DisplayCategory, LitC.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.342> Base.LouisvilleMap7: DisplayCategory, LitC.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.342> Base.LouisvilleMap8: DisplayCategory, LitC.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.342> Base.LouisvilleMap9: DisplayCategory, LitC.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.342> Base.Eraser: DisplayCategory, LitW.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.342> Base.Journal: DisplayCategory, LitW.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.342> Base.Notebook: DisplayCategory, LitW.
[20-10-24 22:49:50.815] LOG  : General     , 1729457390815> 2.745.655.342> Base.Pencil: DisplayCategory, LitW.
[20-10-24 22:49:50.816] LOG  : General     , 1729457390816> 2.745.655.342> Base.SheetPaper2: DisplayCategory, LitW.
[20-10-24 22:49:50.816] LOG  : General     , 1729457390816> 2.745.655.342> Base.BigGasTank1: DisplayCategory, Mech.
[20-10-24 22:49:50.816] LOG  : General     , 1729457390816> 2.745.655.343> Base.BigGasTank2: DisplayCategory, Mech.
[20-10-24 22:49:50.816] LOG  : General     , 1729457390816> 2.745.655.343> Base.BigGasTank3: DisplayCategory, Mech.
[20-10-24 22:49:50.816] LOG  : General     , 1729457390816> 2.745.655.343> Base.BigTrunk1: DisplayCategory, Mech.
[20-10-24 22:49:50.816] LOG  : General     , 1729457390816> 2.745.655.343> Base.BigTrunk2: DisplayCategory, Mech.
[20-10-24 22:49:50.816] LOG  : General     , 1729457390816> 2.745.655.343> Base.BigTrunk3: DisplayCategory, Mech.
[20-10-24 22:49:50.816] LOG  : General     , 1729457390816> 2.745.655.343> Base.CarBattery1: DisplayCategory, Mech.
[20-10-24 22:49:50.816] LOG  : General     , 1729457390816> 2.745.655.343> Base.CarBattery2: DisplayCategory, Mech.
[20-10-24 22:49:50.816] LOG  : General     , 1729457390816> 2.745.655.343> Base.CarBattery3: DisplayCategory, Mech.
[20-10-24 22:49:50.816] LOG  : General     , 1729457390816> 2.745.655.343> Base.EngineDoor1: DisplayCategory, Mech.
[20-10-24 22:49:50.816] LOG  : General     , 1729457390816> 2.745.655.343> Base.EngineDoor2: DisplayCategory, Mech.
[20-10-24 22:49:50.816] LOG  : General     , 1729457390816> 2.745.655.343> Base.EngineDoor3: DisplayCategory, Mech.
[20-10-24 22:49:50.816] LOG  : General     , 1729457390816> 2.745.655.343> Base.EngineParts: DisplayCategory, Mech.
