[22-09-24 11:58:00.218] LOG  : General     , 1726999080218> 8.751.072.741> AdditionalBooks2.BookAxe5: displaycategory, LitS.
[22-09-24 11:58:00.218] LOG  : General     , 1726999080218> 8.751.072.741> AdditionalBooks2.BookBlunt1: displaycategory, LitS.
[22-09-24 11:58:00.218] LOG  : General     , 1726999080218> 8.751.072.741> AdditionalBooks2.BookBlunt2: displaycategory, LitS.
[22-09-24 11:58:00.218] LOG  : General     , 1726999080218> 8.751.072.742> AdditionalBooks2.BookBlunt3: displaycategory, LitS.
[22-09-24 11:58:00.218] LOG  : General     , 1726999080218> 8.751.072.742> AdditionalBooks2.BookBlunt4: displaycategory, LitS.
[22-09-24 11:58:00.218] LOG  : General     , 1726999080218> 8.751.072.742> AdditionalBooks2.BookBlunt5: displaycategory, LitS.
[22-09-24 11:58:00.218] LOG  : General     , 1726999080218> 8.751.072.742> AdditionalBooks2.BookSmallBlunt1: displaycategory, LitS.
[22-09-24 11:58:00.218] LOG  : General     , 1726999080218> 8.751.072.742> AdditionalBooks2.BookSmallBlunt2: displaycategory, LitS.
[22-09-24 11:58:00.218] LOG  : General     , 1726999080218> 8.751.072.742> AdditionalBooks2.BookSmallBlunt3: displaycategory, LitS.
[22-09-24 11:58:00.218] LOG  : General     , 1726999080218> 8.751.072.742> AdditionalBooks2.BookSmallBlunt4: displaycategory, LitS.
[22-09-24 11:58:00.218] LOG  : General     , 1726999080218> 8.751.072.742> AdditionalBooks2.BookSmallBlunt5: displaycategory, LitS.
[22-09-24 11:58:00.218] LOG  : General     , 1726999080218> 8.751.072.742> AdditionalBooks2.BookLongBlade1: displaycategory, LitS.
[22-09-24 11:58:00.219] LOG  : General     , 1726999080219> 8.751.072.742> AdditionalBooks2.BookLongBlade2: displaycategory, LitS.
[22-09-24 11:58:00.219] LOG  : General     , 1726999080219> 8.751.072.742> AdditionalBooks2.BookLongBlade3: displaycategory, LitS.
[22-09-24 11:58:00.219] LOG  : General     , 1726999080219> 8.751.072.742> AdditionalBooks2.BookLongBlade4: displaycategory, LitS.
[22-09-24 11:58:00.219] LOG  : General     , 1726999080219> 8.751.072.742> AdditionalBooks2.BookLongBlade5: displaycategory, LitS.
[22-09-24 11:58:00.219] LOG  : General     , 1726999080219> 8.751.072.743> AdditionalBooks2.BookSmallBlade1: displaycategory, LitS.
[22-09-24 11:58:00.219] LOG  : General     , 1726999080219> 8.751.072.743> AdditionalBooks2.BookSmallBlade2: displaycategory, LitS.
[22-09-24 11:58:00.219] LOG  : General     , 1726999080219> 8.751.072.743> AdditionalBooks2.BookSmallBlade3: displaycategory, LitS.
[22-09-24 11:58:00.219] LOG  : General     , 1726999080219> 8.751.072.743> AdditionalBooks2.BookSmallBlade4: displaycategory, LitS.
[22-09-24 11:58:00.219] LOG  : General     , 1726999080219> 8.751.072.743> AdditionalBooks2.BookSmallBlade5: displaycategory, LitS.
[22-09-24 11:58:00.219] LOG  : General     , 1726999080219> 8.751.072.743> AdditionalBooks2.BookSpear1: displaycategory, LitS.
[22-09-24 11:58:00.219] LOG  : General     , 1726999080219> 8.751.072.743> AdditionalBooks2.BookSpear2: displaycategory, LitS.
[22-09-24 11:58:00.219] LOG  : General     , 1726999080219> 8.751.072.743> AdditionalBooks2.BookSpear3: displaycategory, LitS.
