[22-09-24 15:13:17.254] LOG  : General     , 1727010797254> 0> SapphCooking.SlicedEggplant: displaycategory, FoodP.
[22-09-24 15:13:17.254] LOG  : General     , 1727010797254> 0> SapphCooking.SlicedSteak: displaycategory, FoodP.
[22-09-24 15:13:17.254] LOG  : General     , 1727010797254> 0> SapphCooking.IcecreamSandwich: displaycategory, FoodP.
[22-09-24 15:13:17.254] LOG  : General     , 1727010797254> 0> SapphCooking.IcecreamSandwichMelted: displaycategory, FoodP.
[22-09-24 15:13:17.254] LOG  : General     , 1727010797254> 0> SapphCooking.SourCream: displaycategory, FoodP.
[22-09-24 15:13:17.255] LOG  : General     , 1727010797255> 0> SapphCooking.HomemadeSourCream: displaycategory, FoodP.
[22-09-24 15:13:17.255] LOG  : General     , 1727010797255> 0> SapphCooking.CarrotCake: displaycategory, FoodP.
[22-09-24 15:13:17.255] LOG  : General     , 1727010797255> 0> SapphCooking.ChocolateCake: displaycategory, FoodP.
[22-09-24 15:13:17.255] LOG  : General     , 1727010797255> 0> SapphCooking.TurkeyLegs: displaycategory, FoodP.
[22-09-24 15:13:17.255] LOG  : General     , 1727010797255> 0> SapphCooking.Takoyaki: displaycategory, FoodP.
[22-09-24 15:13:17.255] LOG  : General     , 1727010797255> 0> SapphCooking.PastryDough: displaycategory, FoodP.
[22-09-24 15:13:17.255] LOG  : General     , 1727010797255> 0> SapphCooking.Saucepan_Custard: displaycategory, FoodP.
[22-09-24 15:13:17.255] LOG  : General     , 1727010797255> 0> SapphCooking.EggYolk: displaycategory, FoodP.
[22-09-24 15:13:17.255] LOG  : General     , 1727010797255> 0> SapphCooking.SlicedBanana_Bread: displaycategory, FoodP.
[22-09-24 15:13:17.255] LOG  : General     , 1727010797255> 0> SapphCooking.Banana_Bread: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.Bread_Egginhole: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.Gingerbread_Dough: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.Gingerbread_Man: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.Gingerbread_Wall: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.Gingerbread_House: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.Gingerbread_Pieces: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.ScotchEgg: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.ScotchEggRaw: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.SlicedChickenBatter: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.WokFriedRiceEvolved: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.FryingPanFriedRiceEvolved: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.BakedPotato_Evolved: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.SushiEvolved: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.SushiRecipe: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.HotdogCustom: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.HotdogSandwichEvolved: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.HotdogEvolved: displaycategory, FoodP.
[22-09-24 15:13:17.256] LOG  : General     , 1727010797256> 0> SapphCooking.MincedMeat_Chicken: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.SausageEvolved: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.SausageCasing: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.Saucepan_ArrozLecheUn: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.Saucepan_ArrozLeche: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.CevicheBowl: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.CevicheBowlEvolved: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.SpringrollWrapper: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.SpringrollEvolved: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.Saucepan_InstantNoodlesEvolved: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.Mochi: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.Blender_Prep_Shake: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.Blender_Prep_Smoothie: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.Blender_Prep_Puree: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.Blender_Milkshake: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.Blender_Smoothie: displaycategory, FoodP.
[22-09-24 15:13:17.257] LOG  : General     , 1727010797257> 0> SapphCooking.Blender_Puree: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.Blender_Sorbet: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.SaucepanwithBorschtPrep: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.WokPan_RoastVeg: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.TakeoutBoxFood: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.TakeoutBoxFood_Noodle: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.TakeoutBoxFood_Soup: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.FrenchToast_Prep: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.FrenchToast_Evolved: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.WokPan_CacioPepePrep: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.WokPan_CacioPepeEvolved: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.FlatbreadDough: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.Flatbread: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.FlatbreadEvolved: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.CandyApple: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.Blender_Prep_Juice: displaycategory, FoodP.
[22-09-24 15:13:17.258] LOG  : General     , 1727010797258> 0> SapphCooking.Blender_Juice: displaycategory, FoodP.
[22-09-24 15:13:17.259] LOG  : General     , 1727010797259> 0> SapphCooking.LowBallMilkshake: displaycategory, FoodP.
[22-09-24 15:13:17.259] LOG  : General     , 1727010797259> 0> SapphCooking.CocktailGlassMilkshake: displaycategory, FoodP.
[22-09-24 15:13:17.259] LOG  : General     , 1727010797259> 0> SapphCooking.BeverageMilkshake: displaycategory, FoodP.
[22-09-24 15:13:17.259] LOG  : General     , 1727010797259> 0> SapphCooking.Mug_Milkshake: displaycategory, FoodP.
[22-09-24 15:13:17.259] LOG  : General     , 1727010797259> 0> SapphCooking.MugWhite_Milkshake: displaycategory, FoodP.
[22-09-24 15:13:17.259] LOG  : General     , 1727010797259> 0> SapphCooking.MugRed_Milkshake: displaycategory, FoodP.
[22-09-24 15:13:17.259] LOG  : General     , 1727010797259> 0> SapphCooking.MugSpiffo_Milkshake: displaycategory, FoodP.
[22-09-24 15:13:17.259] LOG  : General     , 1727010797259> 0> SapphCooking.Crepe: displaycategory, FoodP.
[22-09-24 15:13:17.259] LOG  : General     , 1727010797259> 0> SapphCooking.CrepeEvolved: displaycategory, FoodP.
[22-09-24 15:13:17.259] LOG  : General     , 1727010797259> 0> SapphCooking.BloomingOnion: displaycategory, FoodP.
[22-09-24 15:13:17.259] LOG  : General     , 1727010797259> 0> SapphCooking.FriedEggplant: displaycategory, FoodP.
[22-09-24 15:13:17.259] LOG  : General     , 1727010797259> 0> SapphCooking.LowBallSmoothie: displaycategory, FoodP.
