[23-09-24 13:53:30.199] LOG  : General     , 1727092410199> 0> FunctionalAppliances.FAPotatoWedges: DisplayCategory, FoodP.
[23-09-24 13:53:30.199] LOG  : General     , 1727092410199> 0> FunctionalAppliances.FAPlasticCupPilsner: DisplayCategory, FoodP.
[23-09-24 13:53:30.199] LOG  : General     , 1727092410199> 0> FunctionalAppliances.FAHotDrinkTeaMugl: DisplayCategory, FoodN.
[23-09-24 13:53:30.199] LOG  : General     , 1727092410199> 0> FunctionalAppliances.FAFriedBloomingOnion: DisplayCategory, FoodP.
[23-09-24 13:53:30.199] LOG  : General     , 1727092410199> 0> FunctionalAppliances.FAHotDrinkTeaSpiffo: DisplayCategory, FoodN.
[23-09-24 13:53:30.200] LOG  : General     , 1727092410200> 0> FunctionalAppliances.FAPlasticCup: DisplayCategory, Container.
[23-09-24 13:53:30.200] LOG  : General     , 1727092410200> 0> FunctionalAppliances.FABeerMugBubBeer: DisplayCategory, FoodP.
[23-09-24 13:53:30.200] LOG  : General     , 1727092410200> 0> FunctionalAppliances.FABeerMugAmericanLager: DisplayCategory, FoodP.
[23-09-24 13:53:30.200] LOG  : General     , 1727092410200> 0> FunctionalAppliances.FAPlasticCupSwillerLiteBeer: DisplayCategory, FoodP.
[23-09-24 13:53:30.200] LOG  : General     , 1727092410200> 0> FunctionalAppliances.FABubLiteBeerBottle: DisplayCategory, FoodN.
[23-09-24 13:53:30.200] LOG  : General     , 1727092410200> 0> FunctionalAppliances.FAHomeBrewBeerBottle: DisplayCategory, FoodN.
[23-09-24 13:53:30.200] LOG  : General     , 1727092410200> 0> FunctionalAppliances.FABeerMugStout: DisplayCategory, FoodP.
[23-09-24 13:53:30.200] LOG  : General     , 1727092410200> 0> FunctionalAppliances.FAPopBottleLemonLime: DisplayCategory, FoodN.
[23-09-24 13:53:30.200] LOG  : General     , 1727092410200> 0> FunctionalAppliances.FABeerMugBubLiteBeer: DisplayCategory, FoodP.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FAFriedPotatoSkins: DisplayCategory, FoodP.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FAHotDrinkCoffeeRed: DisplayCategory, FoodN.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FAPopBottleRootBeer: DisplayCategory, FoodN.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FABeerMugLightLager: DisplayCategory, FoodP.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FAPlasticCupBubLiteBeer: DisplayCategory, FoodP.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FAHotDrinkEspressoMugl: DisplayCategory, FoodN.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FAPlasticCupBeer: DisplayCategory, FoodP.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FAHotDrinkLatteMugl: DisplayCategory, FoodN.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FAPopBottleCola: DisplayCategory, FoodN.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FAHotDrinkCappuccinoRed: DisplayCategory, FoodN.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FAPlasticCupPorter: DisplayCategory, FoodP.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FAHotDrinkEspressoTeacup: DisplayCategory, FoodN.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FABloomingOnion: DisplayCategory, FoodP.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FAHotDrinkEspressoSpiffo: DisplayCategory, FoodN.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FABucketofButteredPopcorn: DisplayCategory, FoodP.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FABeerMugHomeBrewBeer: DisplayCategory, FoodP.
[23-09-24 13:53:30.201] LOG  : General     , 1727092410201> 0> FunctionalAppliances.FAPlasticCupAmericanLager: DisplayCategory, FoodP.
[23-09-24 13:53:30.202] LOG  : General     , 1727092410202> 0> FunctionalAppliances.FABeerMugSkunked: DisplayCategory, FoodP.
[23-09-24 13:53:30.202] LOG  : General     , 1727092410202> 0> FunctionalAppliances.FABatteredCheese: DisplayCategory, FoodP.
[23-09-24 13:53:30.202] LOG  : General     , 1727092410202> 0> FunctionalAppliances.FAPotatoSkins: DisplayCategory, FoodP.
[23-09-24 13:53:30.202] LOG  : General     , 1727092410202> 0> FunctionalAppliances.FABatteredChicken: DisplayCategory, FoodP.
[23-09-24 13:53:30.202] LOG  : General     , 1727092410202> 0> FunctionalAppliances.FAPlasticCupLightLager: DisplayCategory, FoodP.
[23-09-24 13:53:30.202] LOG  : General     , 1727092410202> 0> FunctionalAppliances.FASwillerBeerBottle: DisplayCategory, FoodN.
[23-09-24 13:53:30.202] LOG  : General     , 1727092410202> 0> FunctionalAppliances.FAHotDrinkCappuccinoSpiffo: DisplayCategory, FoodN.
[23-09-24 13:53:30.202] LOG  : General     , 1727092410202> 0> FunctionalAppliances.FAPopBottleBerry: DisplayCategory, FoodN.
[23-09-24 13:53:30.202] LOG  : General     , 1727092410202> 0> FunctionalAppliances.FAFriedCheeseSticks: DisplayCategory, FoodP.
[23-09-24 13:53:30.202] LOG  : General     , 1727092410202> 0> FunctionalAppliances.FAFountainCupOrangeSoda: DisplayCategory, FoodP.
[23-09-24 13:53:30.202] LOG  : General     , 1727092410202> 0> FunctionalAppliances.FABatteredChickenFillet: DisplayCategory, FoodP.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> FunctionalAppliances.FAPlasticCupHomeBrewBeer: DisplayCategory, FoodP.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> FunctionalAppliances.FABubBeerBottle: DisplayCategory, FoodN.
[23-09-24 13:53:30.203] LOG  : General     , 1727092410203> 0> FunctionalAppliances.FAHotDrinkTeaWhite: DisplayCategory, FoodN.
