[24-09-24 01:51:15.946] LOG  : General     , 1727135475946> 0> HuntingMod.HMDeadGoose: DisplayCategory, FoodP.
[24-09-24 01:51:15.946] LOG  : General     , 1727135475946> 0> HuntingMod.HMDeadElk: DisplayCategory, FoodP.
[24-09-24 01:51:15.946] LOG  : General     , 1727135475946> 0> HuntingMod.HMDeadDeer: DisplayCategory, FoodP.
[24-09-24 01:51:15.946] LOG  : General     , 1727135475946> 0> HuntingMod.HMDeadOpossum: DisplayCategory, FoodP.
[24-09-24 01:51:15.946] LOG  : General     , 1727135475946> 0> LWBetterElectronics.ManualRemote: DisplayCategory, LitR.
[24-09-24 01:51:15.946] LOG  : General     , 1727135475946> 0> LWBetterElectronics.ManualANoisemakerV2: DisplayCategory, LitR.
[24-09-24 01:51:15.947] LOG  : General     , 1727135475947> 0> LWBetterElectronics.ManualANoisemakerV1: DisplayCategory, LitR.
[24-09-24 01:51:15.947] LOG  : General     , 1727135475947> 0> LWBetterElectronics.AdvancedNoiseMakerV2: DisplayCategory, WepBomb.
[24-09-24 01:51:15.947] LOG  : General     , 1727135475947> 0> LWBetterElectronics.AdvancedNoiseMakerV3: DisplayCategory, WepBomb.
[24-09-24 01:51:15.947] LOG  : General     , 1727135475947> 0> LWBetterElectronics.AdvancedNoiseMakerSensorV2: DisplayCategory, WepBomb.
[24-09-24 01:51:15.947] LOG  : General     , 1727135475947> 0> LWBetterElectronics.AdvancedNoiseMakerV1: DisplayCategory, WepBomb.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.AdvancedNoiseMakerSensorV3: DisplayCategory, WepBomb.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.AdvancedNoiseMakerSensorV1: DisplayCategory, WepBomb.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.Happymix: DisplayCategory, FoodN.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.Otternoses: DisplayCategory, FoodN.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.RemoteDoormotor: DisplayCategory, WepBomb.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.YeenBeans: DisplayCategory, FoodN.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.RadioUpgradeMag3: DisplayCategory, LitR.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.RadioUpgradeMag2: DisplayCategory, LitR.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.ManualTV: DisplayCategory, LitR.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.CircuitDiagramHamRadio: DisplayCategory, LitW.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.RadioUpgradeMag1: DisplayCategory, LitR.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.ElectronicsDismantleMagazine: DisplayCategory, LitR.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.CircuitDiagramWalkieTalkie: DisplayCategory, LitW.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.AdvancedNoiseMakerRemoteV2: DisplayCategory, WepBomb.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.AdvancedNoiseMakerRemoteV3: DisplayCategory, WepBomb.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.AdvancedNoiseMakerRemoteV1: DisplayCategory, WepBomb.
[24-09-24 01:51:15.948] LOG  : General     , 1727135475948> 0> LWBetterElectronics.CircuitDiagramRadio: DisplayCategory, LitW.
[24-09-24 01:51:15.949] LOG  : General     , 1727135475949> 0> LWBetterElectronics.CircuitDiagramAmplifier: DisplayCategory, LitW.
[24-09-24 01:51:15.949] LOG  : General     , 1727135475949> 0> LWBetterElectronics.ManualMotionSensor: DisplayCategory, LitR.
[24-09-24 01:51:15.949] LOG  : General     , 1727135475949> 0> KCMweapons.TheSniperGuide: DisplayCategory, LitS.
[24-09-24 01:51:15.949] LOG  : General     , 1727135475949> 0> KCMweapons.TheUltimateHuntingGuide1: DisplayCategory, LitS.
[24-09-24 01:51:15.949] LOG  : General     , 1727135475949> 0> KCMweapons.TheUltimateHuntingGuide2: DisplayCategory, LitS.
[24-09-24 01:51:15.949] LOG  : General     , 1727135475949> 0> KCMweapons.WeaponHandlersReloaded: DisplayCategory, LitS.
[24-09-24 01:51:15.949] LOG  : General     , 1727135475949> 0> KCMweapons.DoomsdayPreppers2: DisplayCategory, LitR.
[24-09-24 01:51:15.949] LOG  : General     , 1727135475949> 0> KCMweapons.DoomsdayPreppers1: DisplayCategory, LitR.
[24-09-24 01:51:15.949] LOG  : General     , 1727135475949> 0> MREM.MRE: DisplayCategory, FoodN.
[24-09-24 01:51:15.950] LOG  : General     , 1727135475950> 0> OccupationsExpertises.BookNimble3: DisplayCategory, LitS.
[24-09-24 01:51:15.950] LOG  : General     , 1727135475950> 0> OccupationsExpertises.BerryMash: DisplayCategory, FoodP.
[24-09-24 01:51:15.950] LOG  : General     , 1727135475950> 0> OccupationsExpertises.MushroomMash: DisplayCategory, FoodP.
[24-09-24 01:51:15.950] LOG  : General     , 1727135475950> 0> RuggedRecipes.DriedPear: DisplayCategory, FoodP.
[24-09-24 01:51:15.950] LOG  : General     , 1727135475950> 0> RuggedRecipes.PreppedTater: DisplayCategory, FoodP.
[24-09-24 01:51:15.950] LOG  : General     , 1727135475950> 0> RuggedRecipes.FermentingKentuckyKimchi: DisplayCategory, FoodP.
