[24-09-24 20:42:28.763] LOG  : General     , 1727203348763> 0> FunctionalAppliances.FAPlasticCupStout: DisplayCategory, FoodP.
[24-09-24 20:42:28.763] LOG  : General     , 1727203348763> 0> FunctionalAppliances.FABeerMugAPA1: DisplayCategory, FoodP.
[24-09-24 20:42:28.763] LOG  : General     , 1727203348763> 0> FunctionalAppliances.FAFountainCupColaSoda: DisplayCategory, FoodP.
[24-09-24 20:42:28.763] LOG  : General     , 1727203348763> 0> FunctionalAppliances.FABeerMug: DisplayCategory, Container.
[24-09-24 20:42:28.764] LOG  : General     , 1727203348764> 0> FunctionalAppliances.FAHotDrinkLatteSpiffo: DisplayCategory, FoodN.
[24-09-24 20:42:28.764] LOG  : General     , 1727203348764> 0> FunctionalAppliances.FABeerMugIPA1: DisplayCategory, FoodP.
[24-09-24 20:42:28.764] LOG  : General     , 1727203348764> 0> FunctionalAppliances.FABeerMugIPA2: DisplayCategory, FoodP.
[24-09-24 20:42:28.764] LOG  : General     , 1727203348764> 0> FunctionalAppliances.FAPlasticCupSkunked: DisplayCategory, FoodP.
[24-09-24 20:42:28.764] LOG  : General     , 1727203348764> 0> FunctionalAppliances.FAFountainCupLemonLimeSoda: DisplayCategory, FoodP.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FAPlasticCupWater: DisplayCategory, FoodB.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FABatteredBloomingOnion: DisplayCategory, FoodP.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FAButteredPopcorn: DisplayCategory, FoodP.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FAPotatoWedges: DisplayCategory, FoodP.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FAPlasticCupPilsner: DisplayCategory, FoodP.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FAHotDrinkTeaMugl: DisplayCategory, FoodN.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FAFriedBloomingOnion: DisplayCategory, FoodP.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FAHotDrinkTeaSpiffo: DisplayCategory, FoodN.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FAPlasticCup: DisplayCategory, Container.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FABeerMugBubBeer: DisplayCategory, FoodP.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FABeerMugAmericanLager: DisplayCategory, FoodP.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FAPlasticCupSwillerLiteBeer: DisplayCategory, FoodP.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FABubLiteBeerBottle: DisplayCategory, FoodN.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FAHomeBrewBeerBottle: DisplayCategory, FoodN.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FABeerMugStout: DisplayCategory, FoodP.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FAPopBottleLemonLime: DisplayCategory, FoodN.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FABeerMugBubLiteBeer: DisplayCategory, FoodP.
[24-09-24 20:42:28.765] LOG  : General     , 1727203348765> 0> FunctionalAppliances.FAFriedPotatoSkins: DisplayCategory, FoodP.
[24-09-24 20:42:28.766] LOG  : General     , 1727203348766> 0> FunctionalAppliances.FAHotDrinkCoffeeRed: DisplayCategory, FoodN.
[24-09-24 20:42:28.766] LOG  : General     , 1727203348766> 0> FunctionalAppliances.FAPopBottleRootBeer: DisplayCategory, FoodN.
[24-09-24 20:42:28.766] LOG  : General     , 1727203348766> 0> FunctionalAppliances.FABeerMugLightLager: DisplayCategory, FoodP.
[24-09-24 20:42:28.766] LOG  : General     , 1727203348766> 0> FunctionalAppliances.FAPlasticCupBubLiteBeer: DisplayCategory, FoodP.
[24-09-24 20:42:28.766] LOG  : General     , 1727203348766> 0> FunctionalAppliances.FAHotDrinkEspressoMugl: DisplayCategory, FoodN.
[24-09-24 20:42:28.766] LOG  : General     , 1727203348766> 0> FunctionalAppliances.FAPlasticCupBeer: DisplayCategory, FoodP.
[24-09-24 20:42:28.766] LOG  : General     , 1727203348766> 0> FunctionalAppliances.FAHotDrinkLatteMugl: DisplayCategory, FoodN.
[24-09-24 20:42:28.766] LOG  : General     , 1727203348766> 0> FunctionalAppliances.FAPopBottleCola: DisplayCategory, FoodN.
[24-09-24 20:42:28.766] LOG  : General     , 1727203348766> 0> FunctionalAppliances.FAHotDrinkCappuccinoRed: DisplayCategory, FoodN.
[24-09-24 20:42:28.766] LOG  : General     , 1727203348766> 0> FunctionalAppliances.FAPlasticCupPorter: DisplayCategory, FoodP.
[24-09-24 20:42:28.766] LOG  : General     , 1727203348766> 0> FunctionalAppliances.FAHotDrinkEspressoTeacup: DisplayCategory, FoodN.
[24-09-24 20:42:28.766] LOG  : General     , 1727203348766> 0> FunctionalAppliances.FABloomingOnion: DisplayCategory, FoodP.
[24-09-24 20:42:28.766] LOG  : General     , 1727203348766> 0> FunctionalAppliances.FAHotDrinkEspressoSpiffo: DisplayCategory, FoodN.
[24-09-24 20:42:28.766] LOG  : General     , 1727203348766> 0> FunctionalAppliances.FABucketofButteredPopcorn: DisplayCategory, FoodP.
[24-09-24 20:42:28.766] LOG  : General     , 1727203348766> 0> FunctionalAppliances.FABeerMugHomeBrewBeer: DisplayCategory, FoodP.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FAPlasticCupAmericanLager: DisplayCategory, FoodP.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FABeerMugSkunked: DisplayCategory, FoodP.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FABatteredCheese: DisplayCategory, FoodP.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FAPotatoSkins: DisplayCategory, FoodP.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FABatteredChicken: DisplayCategory, FoodP.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FAPlasticCupLightLager: DisplayCategory, FoodP.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FASwillerBeerBottle: DisplayCategory, FoodN.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FAHotDrinkCappuccinoSpiffo: DisplayCategory, FoodN.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FAPopBottleBerry: DisplayCategory, FoodN.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FAFriedCheeseSticks: DisplayCategory, FoodP.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FAFountainCupOrangeSoda: DisplayCategory, FoodP.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FABatteredChickenFillet: DisplayCategory, FoodP.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FAPlasticCupHomeBrewBeer: DisplayCategory, FoodP.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FABubBeerBottle: DisplayCategory, FoodN.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FAHotDrinkTeaWhite: DisplayCategory, FoodN.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FAHotDrinkTeaRed: DisplayCategory, FoodN.
[24-09-24 20:42:28.767] LOG  : General     , 1727203348767> 0> FunctionalAppliances.FABeerMugSwillerLiteBeer: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> FunctionalAppliances.FAPopBottleCarbonatedWater: DisplayCategory, FoodN.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> FunctionalAppliances.FAHotDrinkEspressoWhite: DisplayCategory, FoodN.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMDeadPigeon: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMAnimalTracks: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMDeadSkunk: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMAnimalTracksLarge: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMAnimalTraces: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMDeadFox: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMDeadDuck: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMDeadWildpig: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMDeadSquirrel: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMDeadQuail: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMDeadBeaver: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMDeadBear: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMDeadRabbit: DisplayCategory, FoodP.
[24-09-24 20:42:28.768] LOG  : General     , 1727203348768> 0> HuntingMod.HMDeadTurkey: DisplayCategory, FoodP.
