[28-09-24 23:40:58.887] LOG  : General     , 1727559658887> 0> Tsarcraft.VinylMaxPayne: DisplayCategory, MediaA.
[28-09-24 23:40:58.887] LOG  : General     , 1727559658887> 0> Tsarcraft.VinylThurlRavenscroftYoureAMeanOneMrGrinch(1966): DisplayCategory, MediaA.
[28-09-24 23:40:58.887] LOG  : General     , 1727559658887> 0> Tsarcraft.VinylACDCHighwayToHell(1979): DisplayCategory, MediaA.
[28-09-24 23:40:58.887] LOG  : General     , 1727559658887> 0> Tsarcraft.CassetteDeadOrAliveYouSpinMeRound(1984): DisplayCategory, MediaA.
[28-09-24 23:40:58.887] LOG  : General     , 1727559658887> 0> Tsarcraft.VinylGeneAutryFrostyTheSnowMan(1951): DisplayCategory, MediaA.
[28-09-24 23:40:58.897] LOG  : General     , 1727559658897> 0> Tsarcraft.VinylBobbyDarinBrandNewHouse(1958): DisplayCategory, MediaA.
[28-09-24 23:40:58.897] LOG  : General     , 1727559658897> 0> Tsarcraft.CassetteKissIWasMadeForLovinYou(1979): DisplayCategory, MediaA.
[28-09-24 23:40:58.897] LOG  : General     , 1727559658897> 0> Tsarcraft.CassetteScottMcKenzieSanFrancisco(1967): DisplayCategory, MediaA.
[28-09-24 23:40:58.897] LOG  : General     , 1727559658897> 0> Tsarcraft.CassetteMixTapeEDM: DisplayCategory, MediaA.
[28-09-24 23:40:58.897] LOG  : General     , 1727559658897> 0> Tsarcraft.CassetteAlabamaChristmasInDixie(1985): DisplayCategory, MediaA.
[28-09-24 23:40:58.897] LOG  : General     , 1727559658897> 0> Tsarcraft.CassetteJoseFelicianoFelizNavidad(1970): DisplayCategory, MediaA.
[28-09-24 23:40:58.897] LOG  : General     , 1727559658897> 0> Tsarcraft.CassetteSurvivorEyeOfTheTiger(1982): DisplayCategory, MediaA.
[28-09-24 23:40:58.897] LOG  : General     , 1727559658897> 0> Tsarcraft.CassetteAwoo: DisplayCategory, MediaA.
[28-09-24 23:40:58.897] LOG  : General     , 1727559658897> 0> Tsarcraft.CassetteDollyPartonHardCandyChristmas(1982): DisplayCategory, MediaA.
[28-09-24 23:40:58.897] LOG  : General     , 1727559658897> 0> Tsarcraft.CassetteMixTapeNightcoreC: DisplayCategory, MediaA.
[28-09-24 23:40:58.897] LOG  : General     , 1727559658897> 0> Tsarcraft.CassetteMixTapeNightcoreB: DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.CassetteMixTapeNightcoreA: DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.VinylInochiNoNamae: DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.CassetteMainTheme: DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.CassetteJourneyDontStopBelievin(1981): DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.CassetteBoneyMRasputin(1978): DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.VinylElvisPresleyBlueChristmas(1957): DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.VinylRighteousBrothersUnchainedMelody(1965): DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.CassetteJonaLewieStopTheCavalry(1978): DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.CassetteMixTapeBabyMetal: DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.CassetteMixTapeHoloLive: DisplayCategory, MediaA.
[28-09-24 23:40:58.898] LOG  : General     , 1727559658898> 0> Tsarcraft.CassetteBonnieTylerHoldingOutForAHero(1984): DisplayCategory, MediaA.
