[29-09-24 19:33:38.469] LOG  : General     , 1727631218469> 0> Tsarcraft.VinylACDCHighwayToHell(1979): DisplayCategory, MediaA.
[29-09-24 19:33:38.469] LOG  : General     , 1727631218469> 0> Tsarcraft.CassetteDeadOrAliveYouSpinMeRound(1984): DisplayCategory, MediaA.
[29-09-24 19:33:38.469] LOG  : General     , 1727631218469> 0> Tsarcraft.VinylGeneAutryFrostyTheSnowMan(1951): DisplayCategory, MediaA.
[29-09-24 19:33:38.469] LOG  : General     , 1727631218469> 0> Tsarcraft.VinylBobbyDarinBrandNewHouse(1958): DisplayCategory, MediaA.
[29-09-24 19:33:38.469] LOG  : General     , 1727631218469> 0> Tsarcraft.CassetteKissIWasMadeForLovinYou(1979): DisplayCategory, MediaA.
[29-09-24 19:33:38.478] LOG  : General     , 1727631218478> 0> Tsarcraft.CassetteScottMcKenzieSanFrancisco(1967): DisplayCategory, MediaA.
[29-09-24 19:33:38.478] LOG  : General     , 1727631218478> 0> Tsarcraft.CassetteMixTapeEDM: DisplayCategory, MediaA.
[29-09-24 19:33:38.478] LOG  : General     , 1727631218478> 0> Tsarcraft.CassetteAlabamaChristmasInDixie(1985): DisplayCategory, MediaA.
[29-09-24 19:33:38.478] LOG  : General     , 1727631218478> 0> Tsarcraft.CassetteJoseFelicianoFelizNavidad(1970): DisplayCategory, MediaA.
[29-09-24 19:33:38.478] LOG  : General     , 1727631218478> 0> Tsarcraft.CassetteSurvivorEyeOfTheTiger(1982): DisplayCategory, MediaA.
[29-09-24 19:33:38.478] LOG  : General     , 1727631218478> 0> Tsarcraft.CassetteAwoo: DisplayCategory, MediaA.
[29-09-24 19:33:38.478] LOG  : General     , 1727631218478> 0> Tsarcraft.CassetteDollyPartonHardCandyChristmas(1982): DisplayCategory, MediaA.
[29-09-24 19:33:38.478] LOG  : General     , 1727631218478> 0> Tsarcraft.CassetteMixTapeNightcoreC: DisplayCategory, MediaA.
[29-09-24 19:33:38.479] LOG  : General     , 1727631218479> 0> Tsarcraft.CassetteMixTapeNightcoreB: DisplayCategory, MediaA.
[29-09-24 19:33:38.479] LOG  : General     , 1727631218479> 0> Tsarcraft.CassetteMixTapeNightcoreA: DisplayCategory, MediaA.
[29-09-24 19:33:38.479] LOG  : General     , 1727631218479> 0> Tsarcraft.VinylInochiNoNamae: DisplayCategory, MediaA.
[29-09-24 19:33:38.479] LOG  : General     , 1727631218479> 0> Tsarcraft.CassetteMainTheme: DisplayCategory, MediaA.
[29-09-24 19:33:38.479] LOG  : General     , 1727631218479> 0> Tsarcraft.CassetteJourneyDontStopBelievin(1981): DisplayCategory, MediaA.
[29-09-24 19:33:38.479] LOG  : General     , 1727631218479> 0> Tsarcraft.CassetteBoneyMRasputin(1978): DisplayCategory, MediaA.
[29-09-24 19:33:38.479] LOG  : General     , 1727631218479> 0> Tsarcraft.VinylElvisPresleyBlueChristmas(1957): DisplayCategory, MediaA.
[29-09-24 19:33:38.479] LOG  : General     , 1727631218479> 0> Tsarcraft.VinylRighteousBrothersUnchainedMelody(1965): DisplayCategory, MediaA.
[29-09-24 19:33:38.479] LOG  : General     , 1727631218479> 0> Tsarcraft.CassetteJonaLewieStopTheCavalry(1978): DisplayCategory, MediaA.
[29-09-24 19:33:38.479] LOG  : General     , 1727631218479> 0> Tsarcraft.CassetteMixTapeBabyMetal: DisplayCategory, MediaA.
[29-09-24 19:33:38.479] LOG  : General     , 1727631218479> 0> Tsarcraft.CassetteMixTapeHoloLive: DisplayCategory, MediaA.
[29-09-24 19:33:38.479] LOG  : General     , 1727631218479> 0> Tsarcraft.CassetteBonnieTylerHoldingOutForAHero(1984): DisplayCategory, MediaA.
[29-09-24 19:33:38.479] LOG  : General     , 1727631218479> 0> Tsarcraft.CassetteBonnieTylerTotalEclipseOfTheHeart(1983): DisplayCategory, MediaA.
[29-09-24 19:33:38.479] LOG  : General     , 1727631218479> 0> Tsarcraft.CassetteOnABoat: DisplayCategory, MediaA.
[29-09-24 19:33:38.479] LOG  : General     , 1727631218479> 0> Tsarcraft.VinylBingCrosbyWinterWonderland(1945): DisplayCategory, MediaA.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218479> 0> Tsarcraft.CassetteBryanAdamsIDoItForYou(1991): DisplayCategory, MediaA.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> Tsarcraft.VinylBlondieHeartOfGlass(1976): DisplayCategory, MediaA.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> Tsarcraft.VinylAlabamaChristmasInDixie(1985): DisplayCategory, MediaA.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> Tsarcraft.VinylSoWhat: DisplayCategory, MediaA.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> damnCraft.RimSchematics: DisplayCategory, LitR.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> damnCraft.BodyworkSchematics: DisplayCategory, LitR.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> damnCraft.DoorSchematics: DisplayCategory, LitR.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> damnCraft.HoodSchematics: DisplayCategory, LitR.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> damnCraft.MufflerSchematics: DisplayCategory, LitR.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> damnCraft.BumperSchematics: DisplayCategory, LitR.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> damnCraft.TrunkLidSchematics: DisplayCategory, LitR.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> damnCraft.SeatSchematics: DisplayCategory, LitR.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> damnCraft.WindowSchematics: DisplayCategory, LitR.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> Handycraft.EnginePartsMag: DisplayCategory, LitR.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> Handycraft.Firewood: DisplayCategory, FoodN.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> dtitems.DTAngerBook5: DisplayCategory, LitR.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> dtitems.DTAngerBook4: DisplayCategory, LitR.
[29-09-24 19:33:38.480] LOG  : General     , 1727631218480> 0> dtitems.DTAngerBook1: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTBoredomBook2: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTAngerBook3: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTBoredomBook1: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTAngerBook2: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTBoredomBook4: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTBoredomBook3: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTBoredomBook5: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTStressBook2: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTUnhappynessBook5: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTStressBook1: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTStressBook4: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTUnhappynessBook3: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTStressBook3: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTUnhappynessBook4: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTUnhappynessBook1: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTUnhappynessBook2: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> dtitems.DTStressBook5: DisplayCategory, LitR.
[29-09-24 19:33:38.481] LOG  : General     , 1727631218481> 0> ExtraBooks.EBBlunt1: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBBlunt2: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBBlunt3: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBStrength1: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBStrength4: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBStrength5: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBStrength2: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBStrength3: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBFitness1: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBFitness2: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBFitness3: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBFitness4: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBFitness5: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBSmallBlunt5: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBSmallBlunt4: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBSprinting2: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBSmallBlunt3: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBSprinting1: DisplayCategory, LitS.
[29-09-24 19:33:38.482] LOG  : General     , 1727631218482> 0> ExtraBooks.EBBlunt4: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBSmallBlunt2: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBBlunt5: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBSmallBlunt1: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBSprinting4: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBSprinting3: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBSprinting5: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBReloading4: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBLongBlade2: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBReloading5: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBLongBlade1: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBLongBlade5: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBLongBlade4: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBLongBlade3: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBReloading1: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBReloading2: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBReloading3: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBLightfooted1: DisplayCategory, LitS.
[29-09-24 19:33:38.483] LOG  : General     , 1727631218483> 0> ExtraBooks.EBAxe5: DisplayCategory, LitS.
