[30-09-24 18:24:46.911] LOG  : General     , 1727713486911> 0> Tsarcraft.VinylBoneyMRasputin(1978): DisplayCategory, MediaA.
[30-09-24 18:24:46.911] LOG  : General     , 1727713486911> 0> Tsarcraft.CassetteMixTapeKKona: DisplayCategory, MediaA.
[30-09-24 18:24:46.911] LOG  : General     , 1727713486911> 0> Tsarcraft.CassetteFlattAndScruggsFoggyMountainBreakdown(1968): DisplayCategory, MediaA.
[30-09-24 18:24:46.911] LOG  : General     , 1727713486911> 0> Tsarcraft.CassetteMetallicaNothingElseMatters(1991): DisplayCategory, MediaA.
[30-09-24 18:24:46.911] LOG  : General     , 1727713486911> 0> Tsarcraft.CassetteMixTapeLazy: DisplayCategory, MediaA.
[30-09-24 18:24:46.921] LOG  : General     , 1727713486921> 0> Tsarcraft.VinylAliceCooperPoison(1989): DisplayCategory, MediaA.
[30-09-24 18:24:46.921] LOG  : General     , 1727713486921> 0> Tsarcraft.CassetteQueenWeWillRockYou(1977): DisplayCategory, MediaA.
[30-09-24 18:24:46.921] LOG  : General     , 1727713486921> 0> Tsarcraft.VinylOnAPlain: DisplayCategory, MediaA.
[30-09-24 18:24:46.921] LOG  : General     , 1727713486921> 0> Tsarcraft.VinylAveMaria: DisplayCategory, MediaA.
[30-09-24 18:24:46.921] LOG  : General     , 1727713486921> 0> Tsarcraft.VinylJudyGarlandHaveYourselfAMerryLittleChristmas(1944): DisplayCategory, MediaA.
[30-09-24 18:24:46.921] LOG  : General     , 1727713486921> 0> Tsarcraft.VinylMaxPayne: DisplayCategory, MediaA.
[30-09-24 18:24:46.921] LOG  : General     , 1727713486921> 0> Tsarcraft.VinylThurlRavenscroftYoureAMeanOneMrGrinch(1966): DisplayCategory, MediaA.
[30-09-24 18:24:46.921] LOG  : General     , 1727713486921> 0> Tsarcraft.VinylACDCHighwayToHell(1979): DisplayCategory, MediaA.
[30-09-24 18:24:46.921] LOG  : General     , 1727713486921> 0> Tsarcraft.CassetteDeadOrAliveYouSpinMeRound(1984): DisplayCategory, MediaA.
[30-09-24 18:24:46.921] LOG  : General     , 1727713486921> 0> Tsarcraft.VinylGeneAutryFrostyTheSnowMan(1951): DisplayCategory, MediaA.
[30-09-24 18:24:46.921] LOG  : General     , 1727713486921> 0> Tsarcraft.VinylBobbyDarinBrandNewHouse(1958): DisplayCategory, MediaA.
[30-09-24 18:24:46.921] LOG  : General     , 1727713486921> 0> Tsarcraft.CassetteKissIWasMadeForLovinYou(1979): DisplayCategory, MediaA.
[30-09-24 18:24:46.922] LOG  : General     , 1727713486922> 0> Tsarcraft.CassetteScottMcKenzieSanFrancisco(1967): DisplayCategory, MediaA.
[30-09-24 18:24:46.922] LOG  : General     , 1727713486922> 0> Tsarcraft.CassetteMixTapeEDM: DisplayCategory, MediaA.
[30-09-24 18:24:46.922] LOG  : General     , 1727713486922> 0> Tsarcraft.CassetteAlabamaChristmasInDixie(1985): DisplayCategory, MediaA.
[30-09-24 18:24:46.922] LOG  : General     , 1727713486922> 0> Tsarcraft.CassetteJoseFelicianoFelizNavidad(1970): DisplayCategory, MediaA.
[30-09-24 18:24:46.922] LOG  : General     , 1727713486922> 0> Tsarcraft.CassetteSurvivorEyeOfTheTiger(1982): DisplayCategory, MediaA.
[30-09-24 18:24:46.922] LOG  : General     , 1727713486922> 0> Tsarcraft.CassetteAwoo: DisplayCategory, MediaA.
[30-09-24 18:24:46.922] LOG  : General     , 1727713486922> 0> Tsarcraft.CassetteDollyPartonHardCandyChristmas(1982): DisplayCategory, MediaA.
[30-09-24 18:24:46.922] LOG  : General     , 1727713486922> 0> Tsarcraft.CassetteMixTapeNightcoreC: DisplayCategory, MediaA.
[30-09-24 18:24:46.922] LOG  : General     , 1727713486922> 0> Tsarcraft.CassetteMixTapeNightcoreB: DisplayCategory, MediaA.
[30-09-24 18:24:46.922] LOG  : General     , 1727713486922> 0> Tsarcraft.CassetteMixTapeNightcoreA: DisplayCategory, MediaA.
[30-09-24 18:24:46.922] LOG  : General     , 1727713486922> 0> Tsarcraft.VinylInochiNoNamae: DisplayCategory, MediaA.
[30-09-24 18:24:46.922] LOG  : General     , 1727713486922> 0> Tsarcraft.CassetteMainTheme: DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> Tsarcraft.CassetteJourneyDontStopBelievin(1981): DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> Tsarcraft.CassetteBoneyMRasputin(1978): DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> Tsarcraft.VinylElvisPresleyBlueChristmas(1957): DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> Tsarcraft.VinylRighteousBrothersUnchainedMelody(1965): DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> Tsarcraft.CassetteJonaLewieStopTheCavalry(1978): DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> Tsarcraft.CassetteMixTapeBabyMetal: DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> Tsarcraft.CassetteMixTapeHoloLive: DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> Tsarcraft.CassetteBonnieTylerHoldingOutForAHero(1984): DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> Tsarcraft.CassetteBonnieTylerTotalEclipseOfTheHeart(1983): DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> Tsarcraft.CassetteOnABoat: DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> Tsarcraft.VinylBingCrosbyWinterWonderland(1945): DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> Tsarcraft.CassetteBryanAdamsIDoItForYou(1991): DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> Tsarcraft.VinylBlondieHeartOfGlass(1976): DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> Tsarcraft.VinylAlabamaChristmasInDixie(1985): DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> Tsarcraft.VinylSoWhat: DisplayCategory, MediaA.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> damnCraft.RimSchematics: DisplayCategory, LitR.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> damnCraft.BodyworkSchematics: DisplayCategory, LitR.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> damnCraft.DoorSchematics: DisplayCategory, LitR.
[30-09-24 18:24:46.923] LOG  : General     , 1727713486923> 0> damnCraft.HoodSchematics: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> damnCraft.MufflerSchematics: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> damnCraft.BumperSchematics: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> damnCraft.TrunkLidSchematics: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> damnCraft.SeatSchematics: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> damnCraft.WindowSchematics: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> Handycraft.EnginePartsMag: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> Handycraft.Firewood: DisplayCategory, FoodN.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> dtitems.DTAngerBook5: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> dtitems.DTAngerBook4: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> dtitems.DTAngerBook1: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> dtitems.DTBoredomBook2: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> dtitems.DTAngerBook3: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> dtitems.DTBoredomBook1: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> dtitems.DTAngerBook2: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> dtitems.DTBoredomBook4: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> dtitems.DTBoredomBook3: DisplayCategory, LitR.
[30-09-24 18:24:46.924] LOG  : General     , 1727713486924> 0> dtitems.DTBoredomBook5: DisplayCategory, LitR.
[30-09-24 18:24:46.925] LOG  : General     , 1727713486925> 0> dtitems.DTStressBook2: DisplayCategory, LitR.
[30-09-24 18:24:46.925] LOG  : General     , 1727713486925> 0> dtitems.DTUnhappynessBook5: DisplayCategory, LitR.
[30-09-24 18:24:46.925] LOG  : General     , 1727713486925> 0> dtitems.DTStressBook1: DisplayCategory, LitR.
[30-09-24 18:24:46.925] LOG  : General     , 1727713486925> 0> dtitems.DTStressBook4: DisplayCategory, LitR.
[30-09-24 18:24:46.925] LOG  : General     , 1727713486925> 0> dtitems.DTUnhappynessBook3: DisplayCategory, LitR.
[30-09-24 18:24:46.925] LOG  : General     , 1727713486925> 0> dtitems.DTStressBook3: DisplayCategory, LitR.
[30-09-24 18:24:46.925] LOG  : General     , 1727713486925> 0> dtitems.DTUnhappynessBook4: DisplayCategory, LitR.
[30-09-24 18:24:46.925] LOG  : General     , 1727713486925> 0> dtitems.DTUnhappynessBook1: DisplayCategory, LitR.
[30-09-24 18:24:46.925] LOG  : General     , 1727713486925> 0> dtitems.DTUnhappynessBook2: DisplayCategory, LitR.
[30-09-24 18:24:46.925] LOG  : General     , 1727713486925> 0> dtitems.DTStressBook5: DisplayCategory, LitR.
